index;hash_cnst;hash_symb;hash_strlen;hash_ascii;hash_rol;hash_ror;hash_mrot
454;0;0;0;16;11;0;11
455;0;0;0;3;8;0;12
456;0;0;0;5;7;0;7
457;0;0;0;5;9;0;9
458;0;0;0;2;13;0;11
459;0;0;0;3;18;0;9
460;0;0;0;2;11;0;13
461;0;0;0;2;14;0;9
462;0;0;0;0;11;0;7
463;0;0;0;1;8;0;8
464;0;0;0;0;7;0;10
465;0;0;0;0;15;0;13
466;0;0;0;1;10;0;11
467;0;0;0;0;7;0;9
468;0;0;0;0;8;0;11
469;0;0;0;0;9;0;11
470;0;0;0;0;10;0;4
471;0;0;0;0;13;0;12
472;0;0;0;1;12;0;9
473;0;0;0;0;7;0;7
474;0;0;0;1;15;0;8
475;0;0;0;0;5;0;11
476;0;0;0;0;15;0;8
477;0;0;0;0;13;0;3
478;0;0;0;2;11;0;10
479;0;0;0;2;11;0;7
480;0;0;0;3;13;0;22
481;0;0;0;1;13;0;8
482;0;0;0;2;18;0;6
483;0;0;0;3;15;0;6
484;0;0;0;1;6;0;9
485;0;0;0;4;9;0;13
486;0;0;0;2;9;0;15
487;0;0;0;4;3;0;5
488;0;0;0;1;7;0;5
489;0;0;0;3;11;0;7
490;0;0;0;5;10;0;11
491;0;0;0;0;8;0;5
492;0;0;0;1;6;0;12
493;0;0;0;2;10;0;10
494;0;0;0;4;8;0;9
495;0;0;0;3;14;0;6
496;0;0;0;5;7;0;10
497;0;0;0;3;6;0;12
498;0;0;0;8;10;0;11
499;0;0;0;10;14;0;12
500;0;0;0;6;8;0;13
501;0;0;0;4;12;0;5
502;0;0;0;5;10;0;17
503;0;0;0;3;7;0;8
504;0;0;0;13;7;0;5
505;0;0;0;7;14;0;9
506;0;0;0;5;11;0;6
507;0;0;0;5;13;0;10
508;0;0;0;6;12;0;12
509;0;0;0;7;7;0;7
510;0;0;0;9;7;0;10
511;0;0;0;10;7;0;13
512;0;0;0;13;14;0;14
513;0;0;0;10;12;0;7
